,1929,1930,1931,1931,1931,1931
,end,of- - ,Jan. ,Apl. ,June. ,Aug.
Wheat ,107,53,52,55,53,47
Maize ,74,44,38,49,39,35
Butter ,85,64,64,58,56,57
Tea ,81,90,88,76,69,55
Coffee ,69,51,49,54,41,41
Cotton ,89,51,51,54,45,37
Wool Tops ,68,48,46,51,47,48
Jute ,87,51,47,50,52,48
Pig Iron ,110,96,90,89,89,89
Copper ,99,67,65,62,51,47
Tin,80,50,52,51,47,51
Rubber ,93,53,48,36,35,29
