"","ssyk_2012_kod","url","code","title","description"
"20","1291","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1291","1291","Övriga administrations- och servicechefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder, utvecklar och samordnar den övergripande administrativ- och serviceverksamhet i företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar och underställda chefer."
"21","1292","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1292","1292","Övriga administrations- och servicechefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom annan administrations- och serviceverksamhet. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på intern administrativ- och servicefunktion."
"22","1311","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1311","1311","IT-chefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande interna IT-verksamheten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer."
"23","1312","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1312","1312","IT-chefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom IT. Planlägger och leder den dagliga IT-verksam­heten samt ansvarar för personal på en IT-enhet."
"24","1321","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1321","1321","Inköps-, logistik- och transportchefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande interna inköps-, logistik- och transportverksam­heten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer."
"25","1322","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1322","1322","Inköps-, logistik- och transportchefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom inköps-, logistik- och transportverksamheten. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på en inköps-, logistik eller transportenhet."
"26","1331","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1331","1331","Forsknings- och utvecklingschefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande forsknings- och utvecklingsverksamheten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt under­ställda chefer."
"27","1332","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1332","1332","Forsknings- och utvecklingschefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom forsknings- och utvecklingsverksamhet. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på en forsknings- och utvecklingsenhet."
"28","1341","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1341","1341","Chefer inom arkitekt- och ingenjörsverksamhet nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar övergripande arkitekt- och/eller ingenjörsverksamhet i företag eller organisation som utför specialiserade tjänster inom teknisk tjänsteproduktion, såsom uppdrag inom arkitektur, fysisk planering, projektering av byggnader, infrastruktur m.m. i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer."
"29","1342","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1342","1342","Chefer inom arkitekt- och ingenjörsverksamhet nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som utför specialiserade tjänster inom teknisk tjänsteproduktion. Planlägger och leder den dagliga arkitekt- eller ingenjörsverksamheten samt ansvarar för personal."
"30","1351","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1351","1351","Fastighets- och förvaltningschefer nivå 1","Funktionschef eller chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar övergripande förvaltningen och skötsel av fastigheter i företag eller organisation i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer."
"31","1352","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1352","1352","Fastighets- och förvaltningschefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki som förmedlar tjänster inom förvalt­ningen och skötsel av fastigheter till andra företag och organisationer. Planlägger och leder den dagliga verksamheten inom förvaltning och skötsel av fastigheter samt ansvarar för personal."
"32","1361","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1361","1361","Driftchefer inom bygg, anläggning och gruva nivå 1","Chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom bygg, anläggning och gruva, i samråd med högsta chef, chefer för andra avdelningar och underställda chefer."
